cohort,pht,datatablename,associatedvisit,associatedvisit_expr,xassociatedvisit,participantidphv,ageinyearsphv,ageinyears_expr,notes,drop_table
ARIC,pht004097,,ARIC EXAM 4,,,phv00206643,,,,
ARIC,pht004098,,ARIC EXAM 1,,,phv00206655,,,,
ARIC,pht004099,,ARIC EXAM 3,,,phv00206665,,,,
ARIC,pht004100,,ARIC COHORT,,,phv00206746,,,"Cohort Event Eligibility Form, Form CEL",
ARIC,pht004102,,ARIC HOSPITAL FORM,,,phv00207055,,,,
ARIC,pht004103,,ARIC EXAM 2,,,phv00207155,,,,
ARIC,pht004104,,ARIC EXAM 3,,,phv00207191,,,,
ARIC,pht004106,,ARIC EXAM 4,,,phv00207252,,,,
ARIC,pht004107,,ARIC EXAM 1,,,phv00207267,,,,
ARIC,pht004108,,ARIC EXAM 2,,,phv00207283,,,,
ARIC,pht004109,,ARIC EXAM 3,,,phv00207295,,,,
ARIC,pht004110,,ARIC EXAM 4,,,phv00207307,,,,
ARIC,pht004111,,ARIC EXAM 1,,,phv00207407,,,,
ARIC,pht004121,,ARIC EXAM 1,,,phv00207644,,,,
ARIC,pht004122,,ARIC EXAM 2,,,phv00207655,,,,
ARIC,pht004123,,ARIC EXAM 3,,,phv00207667,,,,
ARIC,pht004124,,ARIC EXAM 4,,,phv00207685,,,,
ARIC,pht004125,,ARIC EXAM 4,,,phv00207742,,,,
ARIC,pht004126,,ARIC EXAM 1,,,phv00207799,,,,
ARIC,pht004128,,ARIC EXAM 3,,,phv00207836,,,,
ARIC,pht004129,,ARIC EXAM 1,,,phv00207923,,,,
ARIC,pht004130,,ARIC EXAM 2,,,phv00208012,,,,
ARIC,pht004131,,ARIC EXAM 3,,,phv00208084,,,,
ARIC,pht004136,,ARIC EXAM 4,,,phv00208322,,,,
ARIC,pht004137,,ARIC EXAM 2,,,phv00208436,,,,
ARIC,pht004139,,ARIC EXAM 3,,,phv00208660,,,,
ARIC,pht004142,,ARIC EXAM 1,,,phv00208835,,,,
ARIC,pht004143,,ARIC EXAM 1,,,phv00208902,,,,
ARIC,pht004144,,ARIC EXAM 2,,,phv00208956,,,,
ARIC,pht004145,,ARIC EXAM 3,,,phv00209045,,,,
ARIC,pht004146,,ARIC EXAM 4,,,phv00209097,,,,
ARIC,pht004147,,ARIC EXAM 1,,,phv00209111,,,,
ARIC,pht004148,,ARIC EXAM 2,,,phv00209123,,,,
ARIC,pht004149,,ARIC EXAM 3,,,phv00209159,,,,
ARIC,pht004150,,ARIC EXAM 4,,,phv00209195,,,,
ARIC,pht004161,,ARIC EXAM 1,,,phv00209758,,,,
ARIC,pht004192,,ARIC EXAM 1,,,phv00210296,,,,
ARIC,pht004193,,ARIC EXAM 2,,,phv00210321,,,,
ARIC,pht004194,,ARIC EXAM 3,,,phv00210347,,,,
ARIC,pht004195,,ARIC EXAM 4,,,phv00210370,,,,
ARIC,pht004197,,ARIC EXAM 1,,,phv00210411,,,,
ARIC,pht004198,,ARIC EXAM 2,,,phv00210430,,,,
ARIC,pht004199,,ARIC EXAM 3,,,phv00210449,,,,
ARIC,pht004200,,ARIC EXAM 4,,,phv00210468,,,,
ARIC,pht004201,,ARIC EXAM 1,,,phv00210593,,,,
ARIC,pht004202,,ARIC EXAM 2,,,phv00210717,,,,
ARIC,pht004203,,ARIC EXAM 3,,,phv00210839,,,,
ARIC,pht004204,,ARIC EXAM 4,,,phv00210895,,,,
ARIC,pht004205,,ARIC EXAM 4,,,phv00210964,,,,
ARIC,pht004207,,ARIC EXAM 1,,,phv00211150,,,,
ARIC,pht004213,,ARIC EXAM 2,,,phv00212653,,,,
ARIC,pht004223,,ARIC EXAM 4,,,phv00213977,,,,
ARIC,pht004229,,ARIC EXAM 1,,,phv00215518,,,,
ARIC,pht004230,,ARIC EXAM 2,,,phv00215626,,,,
ARIC,pht004231,,ARIC EXAM 1,,,phv00216043,,,,
ARIC,pht004232,,ARIC EXAM 2,,,phv00216460,,,,
ARIC,pht004233,,ARIC EXAM 3,,,phv00216877,,,,
ARIC,pht004234,,ARIC EXAM 4,,,phv00217294,,,,
ARIC,pht006414,,ARIC EXAM 5,,,phv00294489,phv00294491,,,
ARIC,pht006415,,ARIC EXAM 5,,,phv00294559,phv00294561,,,
ARIC,pht006416,,ARIC AFQ,,,phv00294620,phv00294816,,,
ARIC,pht006417,,ARIC EXAM 5,,,phv00294818,,,,
ARIC,pht006419,,ARIC EXAM 5,,,phv00294834,,,,
ARIC,pht006422,,ARIC EXAM 5,,,phv00294953,,,,
ARIC,pht006427,,ARIC EXAM 5,,,phv00295244,,,,
ARIC,pht006428,,ARIC EXAM 5,,,phv00295531,,,,
ARIC,pht006432,,ARIC EXAM 5,,,phv00295692,,,,
ARIC,pht006434,,ARIC EXAM 5,,,phv00295710,,,,
ARIC,pht006436,,ARIC EXAM 5,,,phv00295776,,,,
ARIC,pht006437,,ARIC EXAM 5,,,phv00296190,,,,
ARIC,pht006439,,ARIC COHORT,,,phv00296348,,,,
ARIC,pht006440,,ARIC HOSPITAL FORM,,,phv00296583,,,,
ARIC,pht006441,,ARIC EXAM 5,,,phv00296598,,,,
ARIC,pht006443,,ARIC COHORT,,,phv00296689,phv00506180,,,
ARIC,pht006444,,ARIC EXAM 5,,,phv00296690,,,,
ARIC,pht006453,,ARIC EXAM 5,,,phv00296935,,,,
ARIC,pht006457,,ARIC COHORT,,,phv00297336,,,,
ARIC,pht006467,,ARIC EXAM 5,,,phv00297546,phv00297561,,,
ARIC,pht006468,,ARIC EXAM 5,,,phv00297599,phv00511022,,,
ARIC,pht006469,,ARIC COHORT,,,phv00297645,,,,
ARIC,pht006477,,ARIC EXAM 5,,,phv00297894,,,,
ARIC,pht006479,,ARIC EXAM 5,,,phv00297979,,,,
ARIC,pht006480,,ARIC LAB FORM,,,phv00298028,,,,
ARIC,pht006489,,ARIC EXAM 5,,,phv00298673,,,,
ARIC,pht009464,,ARIC HOSPITAL FORM,,,phv00418997,,,,
ARIC,pht009477,,ARIC COHORT,,,phv00419825,phv00419796,,,
ARIC,pht009479,,ARIC MEDICAL CONDITIONS UPDATE FORM,,,phv00419900,,,"has days since baseline var, which could be added to age at baseline (in days) to calculate age at follow-up",
ARIC,pht012502,,ARIC COHORT,,,phv00506823,,,,
ARIC,pht012503,CHEM2,ARIC CHEM 2,,,phv00506928,,,"Chemistry Lab, Codebook CHEM2",
ARIC,pht012504,,ARIC EXAM 7,,,phv00507300,phv00507307,,,
ARIC,pht012505,,ARIC LAB FORM,,,phv00507453,,,,
ARIC,pht012511,,ARIC EXAM 1,,,phv00507546,,,guessing it's exam 1 based on variable names in the table,
ARIC,pht012518,,ARIC EXAM 7,,,phv00507808,,,,
ARIC,pht012811,,ARIC COHORT,,,phv00511637,,,,
ARIC,pht012812,,ARIC EXAM 5,,,phv00511863,phv00511865,,,
ARIC,pht012813,,ARIC EXAM 4,,,phv00511942,phv00511996,,,
ARIC,pht012814,,ARIC EXAM 5,,,phv00512039,phv00512050,,,
ARIC,pht012815,,ARIC EXAM 6,,,phv00512222,phv00512229,,,
ARIC,pht012816,,ARIC EXAM 5,,,phv00512410,,,,
ARIC,pht012817,,ARIC COHORT,,,phv00512470,,,,
ARIC,pht012818,,ARIC COHORT,,,phv00512499,,,,
ARIC,pht012819,,ARIC COHORT,,,phv00512528,,,,
ARIC,pht012820,,ARIC COHORT,,,phv00512559,,,,
ARIC,pht012821,,ARIC EXAM 1,,,phv00512590,phv00513388,,,
ARIC,pht012822,,ARIC EXAM 2,,,phv00513413,phv00514213,,,
ARIC,pht012823,,ARIC EXAM 3,,,phv00514239,phv00515039,,,
ARIC,pht012824,,ARIC EXAM 4,,,phv00515065,phv00515865,,,
ARIC,pht012825,,ARIC COHORT,,,phv00515894,,,,
ARIC,pht012826,FXI_GAMMA_DDIMER_ARIC_V3,ARIC LAB FORM,,,phv00515956,,,,
ARIC,pht012835,,ARIC EXAM 2,,,phv00516587,phv00516591,,,
ARIC,pht012839,,ARIC EXAM 5,,,phv00516796,,,,
ARIC,pht012840,,ARIC EXAM 6,,,phv00516885,,,,
ARIC,pht012841,,ARIC EXAM 1,,,phv00516948,,,,
ARIC,pht012842,,ARIC EXAM 2,,,phv00516965,,,,
ARIC,pht012849,,ARIC EXAM 2,,,phv00518227,,,,
ARIC,pht012850,,ARIC LAB FORM,,,phv00519695,,,,
ARIC,pht012851,,ARIC EXAM 1,,,phv00519771,,,guessing based on variable names in the table,
ARIC,pht012853,V1_V5_ANALYTES,ARIC COHORT,,,phv00519789,,,,
ARIC,pht012855,,ARIC EXAM 5,,,phv00519876,,,guessing based on variable names in the table,
CARDIA,pht001557,,CARDIA EXAM 0,,,phv00112401,,,,
CARDIA,pht001559,,CARDIA EXAM 0,,,phv00112417,,,,
CARDIA,pht001560,,CARDIA YEAR 0,,,phv00112462,,,,
CARDIA,pht001563,,CARDIA YEAR 0,,,phv00112654,,,,
CARDIA,pht001565,,CARDIA YEAR 0,,,phv00112709,,,,
CARDIA,pht001566,,CARDIA YEAR 0,,,phv00112876,,,,
CARDIA,pht001568,,CARDIA YEAR 0,,,phv00112958,,,,
CARDIA,pht001569,,CARDIA YEAR 0,,,phv00112975,phv00112977,,,
CARDIA,pht001570,,CARDIA YEAR 0,,,phv00113019,,,,
CARDIA,pht001571,,CARDIA EXAM 0,,,phv00113153,,,,
CARDIA,pht001574,,CARDIA YEAR 0,,,phv00113225,,,"Description: 1985-1986, Year 0. Family Medical History. Cardiovascular disease and its risk factors among young adult participants.",
CARDIA,pht001575,,CARDIA YEAR 0,,,phv00113261,,,,
CARDIA,pht001583,,CARDIA YEAR 2,,,phv00113633,,,,
CARDIA,pht001584,,CARDIA YEAR 0,,,phv00113663,,,,
CARDIA,pht001587,,CARDIA YEAR 0,,,phv00113697,,,,
CARDIA,pht001588,,CARDIA YEAR 0,,,phv00113699,,,,
CARDIA,pht001591,,CARDIA YEAR 0,,,phv00113813,,,,
CARDIA,pht001592,,CARDIA YEAR 0,,,phv00113907,,,,
CARDIA,pht001593,,CARDIA YEAR 0,,,phv00114001,,,,
CARDIA,pht001600,,CARDIA YEAR 2,,,phv00114304,,,,
CARDIA,pht001601,,CARDIA YEAR 2,,,phv00114324,,,,
CARDIA,pht001604,,CARDIA YEAR 2,,,phv00114376,,,,
CARDIA,pht001607,,CARDIA YEAR 2,,,phv00114388,,,"Description: 1987-1988, Year 2. Heart Problems. Cardiovascular disease and its risk factors among young adult participants.",
CARDIA,pht001626,,CARDIA YEAR 2,,,phv00114583,phv00114610,,,
CARDIA,pht001627,,CARDIA YEAR 2,,,phv00114613,,,,
CARDIA,pht001632,,CARDIA YEAR 2,,,phv00114828,,,,
CARDIA,pht001638,,CARDIA YEAR 2,,,phv00115030,,,,
CARDIA,pht001642,,CARDIA YEAR 2,,,phv00115089,,,,
CARDIA,pht001644,,CARDIA YEAR 2,,,phv00115097,,,,
CARDIA,pht001650,,CARDIA YEAR 5,,,phv00115203,,,,
CARDIA,pht001655,,CARDIA YEAR 5,,,phv00115414,,,,
CARDIA,pht001656,,CARDIA YEAR 5,,,phv00115423,,,,
CARDIA,pht001666,,CARDIA YEAR 5,,,phv00115593,,,"1990-1991, Year 5. Family Medical History. Cardiovascular disease and its risk factors among young adult participants.",
CARDIA,pht001667,,CARDIA YEAR 5,,,phv00115618,,,,
CARDIA,pht001671,,CARDIA YEAR 5,,,phv00115849,,,,
CARDIA,pht001679,,CARDIA YEAR 5,,,phv00116028,,,,
CARDIA,pht001684,,CARDIA YEAR 5,,,phv00116206,,,,
CARDIA,pht001687,,CARDIA YEAR 5,,,phv00116293,,,,
CARDIA,pht001692,,CARDIA YEAR 5,,,phv00116348,,,,
CARDIA,pht001694,,CARDIA YEAR 5,,,phv00116360,,,,
CARDIA,pht001695,,CARDIA YEAR 5,,,phv00116368,,,,
CARDIA,pht001699,,CARDIA YEAR 5,,,phv00116393,,,,
CARDIA,pht001705,,CARDIA YEAR 7,,,phv00116474,,,,
CARDIA,pht001706,,CARDIA YEAR 7,,,phv00116476,phv00116478,,,
CARDIA,pht001709,,CARDIA YEAR 7,,,phv00116624,,,,
CARDIA,pht001712,,CARDIA YEAR 7,,,phv00116761,,,,
CARDIA,pht001713,,CARDIA YEAR 7,,,phv00116928,,,,
CARDIA,pht001714,,CARDIA YEAR 7,,,phv00116945,,,,
CARDIA,pht001715,,CARDIA YEAR 7,,,phv00116953,,,,
CARDIA,pht001720,,CARDIA YEAR 7,,,phv00117221,,,,
CARDIA,pht001721,,CARDIA YEAR 7,,,phv00117250,,,"Description: 1992-1993, Year 7. Blood Pressure. Cardiovascular disease and its risk factors among young adult participants.",
CARDIA,pht001725,,CARDIA YEAR 7,,,phv00117441,,,,
CARDIA,pht001736,,CARDIA YEAR 7,,,phv00117549,,,,
CARDIA,pht001737,,CARDIA YEAR 7,,,phv00117551,,,,
CARDIA,pht001739,,CARDIA YEAR 7,,,phv00117555,,,,
CARDIA,pht001740,,CARDIA YEAR 7,,,phv00117564,,,,
CARDIA,pht001742,,CARDIA YEAR 7,,,phv00117569,,,,
CARDIA,pht001745,,CARDIA YEAR 7,,,phv00117593,,,,
CARDIA,pht001746,,CARDIA YEAR 7,,,phv00117707,,,,
CARDIA,pht001747,,CARDIA YEAR 7,,,phv00117821,,,,
CARDIA,pht001748,,CARDIA EXAM 7,,,phv00117878,,,,
CARDIA,pht001749,,CARDIA YEAR 7,,,phv00117898,,,,
CARDIA,pht001752,,CARDIA YEAR 10,,,phv00117996,,,,
CARDIA,pht001753,,CARDIA YEAR 10,,,phv00118005,,,,
CARDIA,pht001754,,CARDIA YEAR 10,,,phv00118009,,,,
CARDIA,pht001755,,CARDIA YEAR 10,,,phv00118039,,,,
CARDIA,pht001756,,CARDIA YEAR 10,,,phv00118153,,,,
CARDIA,pht001759,,CARDIA EXAM 10,,,phv00118359,,,,
CARDIA,pht001760,,CARDIA YEAR 10,,,phv00118416,,,,
CARDIA,pht001761,,CARDIA YEAR 10,,,phv00118426,,,,
CARDIA,pht001765,,CARDIA YEAR 10,,,phv00118644,,,,
CARDIA,pht001779,,CARDIA YEAR 10,,,phv00118781,,,"Dataset description: 1995-1996, Year 10. Family Medical History. Cardiovascular disease and its risk factors among young adult participants.",
CARDIA,pht001781,,CARDIA YEAR 10,,,phv00118837,phv00118959,,,
CARDIA,pht001782,,CARDIA YEAR 10,,,phv00118962,,,,
CARDIA,pht001785,,CARDIA YEAR 10,,,phv00119092,,,,
CARDIA,pht001790,,CARDIA YEAR 10,,,phv00119258,,,,
CARDIA,pht001793,,CARDIA EXAM 10,,,phv00119399,,,,
CARDIA,pht001794,,CARDIA YEAR 10,,,phv00119451,,,,
CARDIA,pht001795,,CARDIA YEAR 10,,,phv00119471,phv00119507,,,
CARDIA,pht001799,,CARDIA YEAR 10,,,phv00119597,,,,
CARDIA,pht001802,,CARDIA YEAR 10,,,phv00119611,,,,
CARDIA,pht001803,,CARDIA YEAR 10,,,phv00119617,,,,
CARDIA,pht001807,,CARDIA YEAR 15,,,phv00119689,,,,
CARDIA,pht001810,,CARDIA YEAR 15,,,phv00119790,,,,
CARDIA,pht001811,,CARDIA YEAR 15,,,phv00119801,,,,
CARDIA,pht001839,,CARDIA YEAR 15,,,phv00120525,,,,
CARDIA,pht001845,,CARDIA YEAR 15,,,phv00120660,,,,
CARDIA,pht001847,,CARDIA YEAR 15,,,phv00120665,,,,
CARDIA,pht001848,,CARDIA YEAR 15,,,phv00120667,,,,
CARDIA,pht001849,,CARDIA YEAR 15,,,phv00120674,,,,
CARDIA,pht001850,,CARDIA YEAR 15,,,phv00120680,,,,
CARDIA,pht001852,,CARDIA YEAR 15,,,phv00120749,,,,
CARDIA,pht001853,,CARDIA YEAR 15,,,phv00120757,,,,
CARDIA,pht001854,,CARDIA YEAR 15,,,phv00120763,,,,
CARDIA,pht001856,,CARDIA YEAR 15,,,phv00120986,,,,
CARDIA,pht001857,,CARDIA YEAR 15,,,phv00120993,,,,
CARDIA,pht001860,,CARDIA YEAR 15,,,phv00121033,,,,
CARDIA,pht001862,,CARDIA YEAR 15,,,phv00121060,,,,
CARDIA,pht001869,,CARDIA MEDICAL HISTORY,,,phv00121257,,,Description: Medical History. Cardiovascular disease and its risk factors among young adult participants.,
CARDIA,pht001870,,CARDIA HOSPITALIZATIONS DIAGNOSIS,,,phv00121454,,,"Description: Hospitalizations, Diagnosis. Cardiovascular disease and its risk factors among young adult participants.",
CARDIA,pht001871,,CARDIA MEDICAL HISTORY,,,phv00121473,,,Description: Medical History. Cardiovascular disease and its risk factors among young adult participants.,
CARDIA,pht001872,,CARDIA DC,,,phv00121679,,,,
CHS,pht001449,,CHS BASELINE,,,phv00098763,,,"no age info in table - ""at baseline""",
CHS,pht001450,,CHS BASELINE,,,phv00098771,phv00098799,,table has age variable,
CHS,pht001451,,,,,phv00099663,phv00100283,,years since baseline phv00100283 CHS BASELINE - NOT BASELINE,
CHS,pht001452,,,,,phv00100285,phv00100487,,age at baseline phv00100487 CHS BASELINE - NOT BASELINE,
CHS,pht001456,,ATRIAL FIBRILLATION DATA,,,phv00100677,phv00100679,,Time from baseline to AFIB incident phv00100679 I think this is in days,
CHS,pht001457,,CHS DDIM,,,phv00100683,,,,
CHS,pht001459,,CHS CAC,,,phv00100690,,,"year CAC was measured - all values are ""11""",
CHS,pht001460,,CHS SHHS 1,,,phv00100693,phv00100694,,table has age variable phv00100694,
CHS,pht001462,,CHS YEAR 5,,,phv00100768,,,,
CHS,pht001464,,CHS SUMMARY,,,phv00100773,,,time to...... - i think this is time to whatever condition in days from baseline - also has time of and cause of death,
CHS,pht001466,,CHS EVENTS,,,phv00100808,,,has age at baseline in categories - is this duplicative? - has death and death time info - time to event,
CHS,pht001468,,CHS IMT,,,phv00100863,,,need to know when the imaging was done,
CHS,pht001473,,CHS YEAR 5,,,phv00101233,,,this is ultrasound data with no age variable,
CHS,pht001474,,CHS YEAR 10,,,phv00101324,phv00102006,,"look for a ""calculated age at visit"" variable phv00102006",
CHS,pht001475,,CHS YEAR 11,,,phv00102174,phv00102583,,age phv00102583,
CHS,pht001476,,CHS YEAR 12,,,phv00103155,phv00103206,,time since entry phv00103206,
CHS,pht001477,,CHS YEAR 12,,,phv00103207,phv00103259,,time since entry phv00103259,
CHS,pht001478,,CHS YEAR 13,,,phv00103260,phv00103311,,time since entry phv00103311,
CHS,pht001479,,CHS YEAR 13,,,phv00103312,phv00103364,,time since entry phv00103364,
CHS,pht001480,,CHS YEAR 14,,,phv00103365,phv00103416,,time since entry phv00103416,
CHS,pht001481,,CHS YEAR 14,,,phv00103417,phv00103469,,time since entry phv00103469,
CHS,pht001482,,CHS YEAR 15,,,phv00103470,phv00103521,,time since entry phv00103521,
CHS,pht001483,,CHS YEAR 15,,,phv00103522,phv00103574,,time since entry phv00103574,
CHS,pht001484,,CHS YEAR 16,,,phv00103575,phv00103626,,time since entry phv00103626,
CHS,pht001485,,CHS YEAR 16,,,phv00103627,phv00103679,,time since entry phv00103679,
CHS,pht001486,,CHS YEAR 17,,,phv00103680,phv00103729,,time since entry phv00103729,
CHS,pht001487,,CHS YEAR 17,,,phv00103730,phv00103780,,time since entry phv00103780,
CHS,pht001488,,CHS YEAR 3,,,phv00103781,,,calculated age at visit phv00104377,
CHS,pht001489,,CHS YEAR 4,,,phv00104468,,,age phv00104783,
CHS,pht001490,,CHS YEAR 5 NEW,,,phv00105099,,,age at baseline phv00105116 and phv00105622,
CHS,pht001491,,CHS YEAR 5 OLD,,,phv00106520,,,age phv00106844,
CHS,pht001492,,CHS YEAR 6,,,phv00107443,,,age phv00107780,
CHS,pht001493,,CHS YEAR 7,,,phv00108303,,,age phv00108813,
CHS,pht001494,,CHS YEAR 8,,,phv00109056,,,age phv00109604,
CHS,pht001495,,CHS YEAR 9,,,phv00109768,,,age phv00109855,
CHS,pht003697,,CHS SHHS 1,,,phv00197325,,,time to entry phv00197358 and phv00197359,
CHS,pht003699,,CHS PSG 1,,,phv00197394,,,time from entry phv00198804,
CHS,pht003700,,CHS PSG 2,,,phv00198805,,,age phv00198807,
CHS,pht005981,,CHS VTE,,,phv00273564,,,,
COPD,pht002239,,COPDGENE,,,phv00159568,phv00159836,,,
FHS,pht000009,ex0_7s,,,FHS ORIGINAL EXAM 1-7,phv00001036,,,will need to look in variable description for specific exam. to isolate Original cohort Exam 5 one would need to specify IDTYPE=0 (Original cohort) and DATE5,
FHS,pht000010,ex0_8s,FHS ORIGINAL EXAM 8,,,phv00001187,phv00177944,,,
FHS,pht000011,ex0_9s,FHS ORIGINAL EXAM 9,,,phv00001363,phv00177946,,,
FHS,pht000012,ex0_10s,FHS ORIGINAL EXAM 10,,,phv00001559,phv00177948,,,
FHS,pht000013,ex0_11s,FHS ORIGINAL EXAM 11,,,phv00001803,phv00177950,,,
FHS,pht000014,ex0_12s,FHS ORIGINAL EXAM 12,,,phv00002020,phv00177952,,,
FHS,pht000015,ex0_13s,FHS ORIGINAL EXAM 13,,,phv00002204,phv00177954,,,
FHS,pht000016,ex0_14s,FHS ORIGINAL EXAM 14,,,phv00002425,phv00177956,,,
FHS,pht000017,ex0_15s,FHS ORIGINAL EXAM 15,,,phv00002668,phv00177958,,,
FHS,pht000018,ex0_16s,FHS ORIGINAL EXAM 16,,,phv00002946,phv00177960,,,
FHS,pht000019,ex0_17s,FHS ORIGINAL EXAM 17,,,phv00003261,phv00177962,,,
FHS,pht000020,ex0_18s,FHS ORIGINAL EXAM 18,,,phv00003667,phv00177964,,,
FHS,pht000021,ex0_19s,FHS ORIGINAL EXAM 19,,,phv00004083,phv00177966,,,
FHS,pht000022,ex0_20s,FHS ORIGINAL EXAM 20,,,phv00004525,phv00177968,,,
FHS,pht000023,ex0_21s,FHS ORIGINAL EXAM 21,,,phv00004939,phv00177970,,,
FHS,pht000024,ex0_22s,FHS ORIGINAL EXAM 22,,,phv00005557,phv00177972,,,
FHS,pht000025,ex0_23s,FHS ORIGINAL EXAM 23,,,phv00006030,phv00177974,,,
FHS,pht000026,ex0_24s,FHS ORIGINAL EXAM 24,,,phv00006325,phv00177976,,,
FHS,pht000027,ex0_25s,FHS ORIGINAL EXAM 25,,,phv00006663,phv00177978,,,
FHS,pht000028,ex0_26s,FHS ORIGINAL EXAM 26,,,phv00007095,phv00177980,,,
FHS,pht000029,ex0_27s,FHS ORIGINAL EXAM 27,,,phv00007534,phv00177982,,,
FHS,pht000030,ex1_1s,FHS OFFSPRING EXAM 1,,,phv00007675,phv00177930,,,
FHS,pht000031,ex1_2s,FHS OFFSPRING EXAM 2,,,phv00008379,phv00177932,,,
FHS,pht000032,ex1_3s,FHS OFFSPRING EXAM 3,,,phv00008743,phv00177934,,,
FHS,pht000033,ex1_4s,FHS OFFSPRING EXAM 4,,,phv00009127,phv00177936,,,
FHS,pht000034,ex1_5s,FHS OFFSPRING EXAM 5,,,phv00009579,phv00177938,,,
FHS,pht000035,ex1_6s,FHS OFFSPRING EXAM 6,,,phv00010138,phv00177940,,,
FHS,pht000036,ex1_7s,FHS OFFSPRING EXAM 7,,,phv00010694,phv00177942,,,
FHS,pht000040,vr_diab_ex28_0_0601s,,,FHS ORIGINAL EXAM 1-28,phv00010783,,,will need to look in variable description for specific exam,
FHS,pht000041,vr_diab_ex10_1b_1489s,,,"FHS OFFSPRING EXAM 1-10, OMNI 1 EXAM 1-5",phv00010804,,,will need to look in variable description for specific exam,
FHS,pht000074,ex3_1s,FHS GENERATION 3 EXAM 1,,,phv00021427,phv00177930,,see pht003099 for ages at all exams,
FHS,pht000076,ankle1_7s,FHS OFFSPRING EXAM 7,,,phv00021587,phv00177942,,,
FHS,pht000077,ankle1_6s,FHS OFFSPRING EXAM 6,,,phv00021606,phv00177940,,,
FHS,pht000078,,FHS OFFSPRING EXAM 6,,,phv00021685,phv00177940,,,
