cohort,bdchm_label,phv,phs,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,participantidphv,associatedvisit,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good
"mesa","hematocrit","phv00218992","phs000209","pht004319","hematocrit (%)","%","MeasurementObservation","hemat","%","OBA:2045381","phv00218989","MESA EPIGENOMICS","","","","",,1,1,1,0,0,1
"aric","hematocrit","phv00207270","phs000280","pht004108","hematocrit % (mav). q1 [hematology form. hmtb. visit 2]","%","MeasurementObservation","hemat","%","OBA:2045381","phv00207283","ARIC EXAM 2","","","","",,1,1,1,0,0,1
"aric","red cell distribution width","phv00207292","phs000280","pht004109","rbc distribution width. q9 [hematology lab. hmtcv301. visit 3]","%","MeasurementObservation","rdw","%","OMOP:37397924","phv00207295","ARIC EXAM 3","","","","",,1,1,1,0,0,1
"jhs","hemoglobin a1c","phv00125929","phs000286","pht001945","glyhb: hemoglobin a1c - % [visit 1]","%","MeasurementObservation","hemo_a1c","%","OMOP:4184637","phv00125925","JHS EXAM 6","","","","",,1,1,1,0,0,1
"jhs","lymphocytes percent","phv00127622","phs000286","pht001959","lymphs: diff measure % [visit 1]","%","MeasurementObservation","lympho_pct","%","OMOP:37208690","phv00127609","JHS EXAM 1","","","","",,1,1,1,0,0,1
"jhs","hematocrit","phv00127614","phs000286","pht001959","hematocrit % [visit 1]","%","MeasurementObservation","hemat","%","OBA:2045381","phv00127609","JHS EXAM 1","","","","",,1,1,1,0,0,1
"jhs","hemoglobin a1c","phv00401312","phs000286","pht008730","ngsp hemoglobin a1c (%)","%","MeasurementObservation","hemo_a1c","%","OMOP:4184637","phv00401273","JHS EXAM 2","phv00401282","","","",,1,1,1,0,0,1
"aric","hematocrit","phv00207301","phs000280","pht004110","hematocrit. q5 [hematology lab. hmtcv401. visit 4]","%","MeasurementObservation","hemat","%","OBA:2045381","phv00207307","ARIC EXAM 4","","","","",,1,1,1,0,0,1
"hchs_sol","red cell distribution width","phv00226308","phs000810","pht004715","% red cell distribution width (laba8)","%","MeasurementObservation","rdw","%","OMOP:37397924","phv00226250","HCHS EXAM","phv00226251","","","",,1,1,1,0,0,1
"aric","hemoglobin a1c","phv00506933","phs000280","pht012503","glyhb - hba1c numeric value % [chemistry lab, chem2]","%","MeasurementObservation","hemo_a1c","%","OMOP:4184637","phv00506928","ARIC CHEM 2","","","","",,1,1,1,0,0,1
"aric","hematocrit","phv00206945","phs000280","pht004102","section 6: biochemical analyses. section 6: biochemical analyses. q38b - hematocrit last [heart failure hospital record abstraction form, hfa]","%","MeasurementObservation","hemat","%","OBA:2045381","phv00207055","ARIC HOSPITAL FORM","","","","",,1,1,1,0,0,1
"whi","hematocrit","phv00077365","phs000200","pht000986","hematocrit (%)","%","MeasurementObservation","hemat","%","OBA:2045381","phv00077360","WHI CBC","","","","",,1,1,1,0,0,1
"aric","lymphocytes percent","phv00294964","phs000280","pht006422","lymphocyte percentage, ly [complete blood count, cbc, visit 5]","%","MeasurementObservation","lympho_pct","%","OMOP:37208690","phv00294953","ARIC EXAM 5","","","","",,1,1,1,0,0,1
"aric","hematocrit","phv00206944","phs000280","pht004102","section 6: biochemical analyses. section 6: biochemical analyses. q38a - hematocrit worst [heart failure hospital record abstraction form, hfa]","%","MeasurementObservation","hemat","%","OBA:2045381","phv00207055","ARIC HOSPITAL FORM","","","","",,1,1,1,0,0,1
