row_good,cohort,bdchm_entity,bdchm_label,bdchm_varname,has_onto,bdchm_unit,phv,var_desc,var_units,has_pht,pht,participantidphv,has_visit,associatedvisit,has_visit_expr,associatedvisit_expr,xassociatedvisit,var_desc_exam,has_age,ageinyearsphv,contextvars_notes,unit_match,unit_convert,conversion_rule,unit_expr,unit_expr_custom,unit_casestmt,unit_casestmt_custom,bad_map,add_map,add_var_units,fix_key_note
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00021594","systolic blood pressure by doppler in right ankle","mm[Hg]","1","pht000077","phv00021606","1","FHS OFFSPRING EXAM 6","","","","","1","phv00177940","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00021595","systolic blood pressure by doppler in left ankle","mm[Hg]","1","pht000077","phv00021606","1","FHS OFFSPRING EXAM 6","","","","","1","phv00177940","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00023139","repeat systolic blood pressure measurement by doppler in right ankle","mm[Hg]","1","pht000138","phv00023146","1","FHS ORIGINAL EXAM 23","","","","","1","phv00177974","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00023138","repeat systolic blood pressure measurement by doppler in left ankle","mm[Hg]","1","pht000138","phv00023146","1","FHS ORIGINAL EXAM 23","","","","","1","phv00177974","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00023132","systolic blood pressure by doppler in left arm","mm[Hg]","1","pht000138","phv00023146","1","FHS ORIGINAL EXAM 23","","","","","1","phv00177974","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00023135","systolic blood pressure by doppler in left ankle","mm[Hg]","1","pht000138","phv00023146","1","FHS ORIGINAL EXAM 23","","","","","1","phv00177974","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00023137","if dorsalis pedis used: systolic blood pressure by doppler in left arm","mm[Hg]","1","pht000138","phv00023146","1","FHS ORIGINAL EXAM 23","","","","","1","phv00177974","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00023131","systolic blood pressure by doppler in right arm","mm[Hg]","1","pht000138","phv00023146","1","FHS ORIGINAL EXAM 23","","","","","1","phv00177974","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00023140","repeat systolic blood pressure measurement by doppler in left arm","mm[Hg]","1","pht000138","phv00023146","1","FHS ORIGINAL EXAM 23","","","","","1","phv00177974","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00023136","if dorsalis pedis used: systolic blood pressure by doppler in right arm","mm[Hg]","1","pht000138","phv00023146","1","FHS ORIGINAL EXAM 23","","","","","1","phv00177974","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00023134","systolic blood pressure by doppler in right ankle","mm[Hg]","1","pht000138","phv00023146","1","FHS ORIGINAL EXAM 23","","","","","1","phv00177974","","","0","","0","","","","","","1",""
"0","fhs","MeasurementObservation","systolic blood pressure","bp_systolic","1","mm[Hg]","phv00055256","seated systolic blood pressure","mm[Hg]","1","pht000395","phv00056635","1","FHS SLEEP HEART HEALTH STUDY (SHHS) BASELINE","","","","","","","this is a weird one. The SHHS dataset is a derived dataset that uses previously collected measurements from other FHS tables, plus adds some new ones. Age and visit are both obscured by the derivation","","0","","0","","","","","","1",""
