cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good,bad_map,add_map,expr,add_var_units,note
cardia,alcohol,phv00115422,pht001655,number of days had c07numdr. q 7,d,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 5,phv00115414,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00116914,pht001712,beer and ales,{servings}/d,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 7,phv00116761,1,1,,0,0,0,,,,1,manually fixed
cardia,alcohol,phv00116915,pht001712,cordial and liqueur,{servings}/d,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 7,phv00116761,1,1,,0,0,0,,,,1,manually fixed
cardia,alcohol,phv00116916,pht001712,distilled liquor,{servings}/d,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 7,phv00116761,1,1,,0,0,0,,,,1,manually fixed
cardia,alcohol,phv00116917,pht001712,wine,{servings}/d,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 7,phv00116761,1,1,,0,0,0,,,,1,manually fixed
cardia,alcohol,phv00116929,pht001713,major food group for alcohol,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 7,phv00116928,1,1,,0,0,0,1,,,,"nothing in CARDIA doc about what this variable means, it's units, or how it was derived"
cardia,alcohol,phv00116946,pht001714,drinker. q 1,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 7,phv00116945,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00116947,pht001714,drinks wine/week. q 2,{servings}/wk,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 7,phv00116945,1,1,,0,0,0,,,,1,manually fixed
cardia,alcohol,phv00116948,pht001714,drinks beer/week. q 3,{servings}/wk,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 7,phv00116945,1,1,,0,0,0,,,,1,manually fixed
cardia,alcohol,phv00116949,pht001714,drinks liquor/week. q 4,{servings}/wk,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 7,phv00116945,1,1,,0,0,0,,,,1,manually fixed
cardia,alcohol,phv00116950,pht001714,drinks in past 24 hrs. q 5,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 7,phv00116945,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00116951,pht001714,"most drinks/day, last month. q 6",,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 7,phv00116945,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00116952,pht001714,mean ml of alcohol consumption per day,{servings}/d,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 7,phv00116945,1,1,,1,0,1,1,,,,
cardia,alcohol,phv00117620,pht001745,alcohol (gm),g/mo,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 7,phv00117593,1,1,,0,1,1,1,,,,
cardia,alcohol,phv00117734,pht001746,alcohol (gm),g/mo,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 7,phv00117707,1,1,,0,1,1,1,,,,
cardia,alcohol,phv00118417,pht001760,drinker. q 1,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 10,phv00118416,1,1,,0,0,0,1,,,,
