cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,source_unit,target_unit,conversion_rule,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good,bad_map,add_map,expr,add_var_units,note
jhs,fev1 - forced expiratory volume in 1 sec,phv00128243,pht001969,derived fev1 % predicted,,MeasurementObservation,fev1,L,JHS PULMONARY,phv00128197,,,,1,1,,0,0,0,1,,,,predicted values are out of scope
jhs,fev1 - forced expiratory volume in 1 sec,phv00128230,pht001969,"thrd_fev1 - forced expiratory volume in 1 second, fev1.0 from the 3rd best curve: measured in liters",L,MeasurementObservation,fev1,L,JHS PULMONARY,phv00128197,,,,1,1,,0,0,0,,,,1,
jhs,fev1 - forced expiratory volume in 1 sec,phv00128210,pht001969,"best_fev1 - forced expiratory volume in 1 second, fev1.0 from the best curve: measured in liters",L,MeasurementObservation,fev1,L,JHS PULMONARY,phv00128197,,,,1,1,,0,0,0,,,,1,
jhs,fvc - forced vital capacity,phv00401166,pht008729,fvc % predicted,%,MeasurementObservation,fvc,L,JHS EXAM 1,phv00401078,,,,1,1,,0,0,0,1,,,,predicted values are out of scope
jhs,fvc - forced vital capacity,phv00128242,pht001969,derived fvc % predicted,,MeasurementObservation,fvc,L,JHS PULMONARY,phv00128197,,,,1,1,,0,0,0,1,,,,predicted values are out of scope
jhs,fvc - forced vital capacity,phv00128219,pht001969,scnd_fvc - best forced vital capacity from 2nd best curve (second best curve is second highest [fvc + fev1 ] ): measured in liters,L,MeasurementObservation,fvc,L,JHS PULMONARY,phv00128197,,,,1,1,,0,0,0,,,,1,
jhs,fvc - forced vital capacity,phv00128229,pht001969,thrd_fvc - best forced vital capacity from 3rd best curve (third best curve is third highest [ fvc + fev1 ] ): measured in liters,L,MeasurementObservation,fvc,L,JHS PULMONARY,phv00128197,,,,1,1,,0,0,0,,,,1,
jhs,fvc - forced vital capacity,phv00128209,pht001969,best_fvc - best forced vital capacity from best curve (best curve is an acceptable curve that has max [fvc + fev1 ] ): measured in liters,L,MeasurementObservation,fvc,L,JHS PULMONARY,phv00128197,,,,1,1,,0,0,0,,,,1,
jhs,hemoglobin a1c,phv00401127,pht008729,ifcc hemoglobin a1c (mmol/mol),mmol/mol,MeasurementObservation,hemo_a1c,%,JHS EXAM 1,phv00401078,,,,1,1,,0,0,0,1,,,,
jhs,hemoglobin a1c,phv00401418,pht008731,ifcc hemoglobin a1c (mmol/mol),mmol/mol,MeasurementObservation,hemo_a1c,%,JHS EXAM 3,phv00401370,,,,1,1,,0,0,0,1,,,,
jhs,hemoglobin a1c,phv00401316,pht008730,ifcc hemoglobin a1c (mmol/mol),mmol/mol,MeasurementObservation,hemo_a1c,%,JHS EXAM 2,phv00401273,,,,1,1,,0,0,0,1,,,,
jhs,heart rate,phv00403856,pht008783,"q21. g. computed net average of first and second omron blood pressure measurements. computed heart rate [visit 1] [sitting blood pressure form, sbp]",{beats}/min,MeasurementObservation,hrtrt,{beats}/min,JHS EXAM 1,phv00403830,,,,1,1,,0,0,0,1,,,1,
jhs,heart rate,phv00403806,pht008782,"q10. c. preliminary measurement. heart rate in 30 seconds [visit 6] [sitting blood pressure form, sbp]",{beats}/min,MeasurementObservation,hrtrt,{beats}/min,JHS EXAM 6,phv00403792,,,,1,1,,0,0,0,,,* 2,1,
jhs,heart rate,phv00124610,pht001922,heart rate [visit 1],{beats}/min,MeasurementObservation,hrtrt,{beats}/min,JHS EXAM 1,phv00124604,,,,1,1,,0,0,0,1,,,1,lots of zero values
jhs,heart rate,phv00403844,pht008783,"q10. c. preliminary measurements. heart rate (30 seconds) [visit 1] [sitting blood pressure form, sbp]",{beats}/min,MeasurementObservation,hrtrt,{beats}/min,JHS EXAM 1,phv00403830,,,,1,1,,0,0,0,,,* 2,1,
jhs,heart rate,phv00127511,pht001955,heart rate during mitral inflow doppler study [visit 1],{beats}/min,MeasurementObservation,hrtrt,{beats}/min,JHS EXAM 1,phv00127457,,,,1,1,,0,0,0,,,,1,
jhs,heart rate,phv00128364,pht001974,"q8. c. preliminary measurements. heart rate (30 sec) [visit 1] [sitting blood pressure form, sbp]",{beats}/min,MeasurementObservation,hrtrt,{beats}/min,JHS EXAM 1,phv00128355,,,,1,1,,0,0,0,,,* 2,1,
jhs,heart rate,phv00403850,pht008783,"q15. e. first omron blood pressure measurement. heart rate reading [visit 1] [sitting blood pressure form, sbp]",{beats}/min,MeasurementObservation,hrtrt,{beats}/min,JHS EXAM 1,phv00403830,,,,1,1,,0,0,0,,,,1,
jhs,heart rate,phv00127504,pht001955,heart rate during aortic outflow doppler study [visit 1],{beats}/min,MeasurementObservation,hrtrt,{beats}/min,JHS EXAM 1,phv00127457,,,,1,1,,0,0,0,,,,1,
jhs,heart rate,phv00403853,pht008783,"q18. f. second omron blood pressure measurement. 2nd heart rate reading [visit 1] [sitting blood pressure form, sbp]",{beats}/min,MeasurementObservation,hrtrt,{beats}/min,JHS EXAM 1,phv00403830,,,,1,1,,0,0,0,,,,1,
jhs,insulin in blood,phv00125954,pht001945,insulin: the concentration of insulin in iu/ml [visit 1],[IU]/mL,MeasurementObservation,insulin_blood,pmol/L,JHS EXAM 6,phv00125925,,,,1,1,,0,0,0,,,,,
jhs,mean corpuscular hemoglobin,phv00127623,pht001959,mch pg [visit 1],pg/{cell},MeasurementObservation,mch,pg/{cell},JHS EXAM 1,phv00127609,,,,1,1,,0,0,0,,,,1,units inferred
jhs,mean corpuscular hemoglobin concentration,phv00127624,pht001959,mchc % [visit 1],%,MeasurementObservation,mchc,g/dL,JHS EXAM 1,phv00127609,,,,1,1,,0,0,0,,,,,units are equivalent for this entity
jhs,mean corpuscular volume,phv00127625,pht001959,mcv fl [visit 1],fL,MeasurementObservation,mcv,fL,JHS EXAM 1,phv00127609,,,,1,1,,0,0,0,,,,1,
jhs,monocytes count,phv00127626,pht001959,monos: diff % [visit 1],%,MeasurementObservation,monocyte_ncnc_bld,10*3/uL,JHS EXAM 1,phv00127609,,,,1,1,,0,0,0,1,,,,
jhs,neutrophils count,phv00127632,pht001959,bands: diff measure % [visit 1],%,MeasurementObservation,neutro_ct,10*3/uL,JHS EXAM 1,phv00127609,,,,1,1,,0,0,0,1,,,,
jhs,neutrophils count,phv00127630,pht001959,segs: diff measure % [visit 1],%,MeasurementObservation,neutro_ct,10*3/uL,JHS EXAM 1,phv00127609,,,,1,1,,0,0,0,1,,,,
jhs,mean platelet volume,phv00127627,pht001959,mpv fl [visit 1],fL,MeasurementObservation,pmv,fL,JHS EXAM 1,phv00127609,,,,1,1,,0,0,0,,,,1,
