cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,source_unit,target_unit,conversion_rule,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good
"cardia","alcohol","phv00115419","pht001655","drinks liquor/week. q 4","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 5","phv00115414","","","",1,1,,0,0,0
"cardia","alcohol","phv00116948","pht001714","drinks beer/week. q 3","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 7","phv00116945","","","",1,1,,0,0,0
"cardia","alcohol","phv00118419","pht001760","drinks beer/week. q 3","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 10","phv00118416","","","",1,1,,0,0,0
"cardia","alcohol","phv00114309","pht001600","drinks liquor/week. q 4","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 2","phv00114304","","","",1,1,,0,0,0
"cardia","alcohol","phv00112877","pht001566","major food group for alcohol","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 0","phv00112876","","","",1,1,,0,0,0
"cardia","alcohol","phv00112864","pht001565","distilled liquor","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 0","phv00112709","","","",1,1,,0,0,0
"cardia","alcohol","phv00115417","pht001655","drinks wine/week. q 2","","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 5","phv00115414","","","",1,1,,0,0,0
"cardia","alcohol","phv00115422","pht001655","number of days had c07numdr. q 7","d","MeasurementObservation","alcohol_servings","{#}/wk","CARDIA YEAR 5","phv00115414","","","",1,1,,0,0,0
"cardia","basophils count","phv00112696","pht001563","basophils (%)","%","MeasurementObservation","basophil_ncnc_bld","10*3/uL","CARDIA YEAR 0","phv00112654","","","",1,1,,0,0,0
"cardia","basophils count","phv00112686","pht001563","white cell count (x 1000)","","MeasurementObservation","basophil_ncnc_bld","10*3/uL","CARDIA YEAR 0","phv00112654","","","",1,1,,0,0,0
"cardia","height","phv00118250","pht001756","height","","MeasurementObservation","bdy_hgt","cm","CARDIA YEAR 10","phv00118153","","","",1,1,,0,0,0
"cardia","height","phv00118136","pht001755","height","","MeasurementObservation","bdy_hgt","cm","CARDIA YEAR 10","phv00118039","","","",1,1,,0,0,0
"cardia","height","phv00115704","pht001667","height in inches","","MeasurementObservation","bdy_hgt","cm","CARDIA YEAR 5","phv00115618","","","",1,1,,0,0,0
"cardia","height","phv00114609","pht001626","ht, in inches","","MeasurementObservation","bdy_hgt","cm","CARDIA YEAR 2","phv00114583","","","",1,1,,0,0,0
"cardia","temperature","phv00115703","pht001667","degrees centigrade","","MeasurementObservation","bdy_temp","Cel","CARDIA YEAR 5","phv00115618","","","",1,1,,0,0,0
"cardia","temperature","phv00113394","pht001575","degrees centigrade 19-30","","MeasurementObservation","bdy_temp","Cel","CARDIA YEAR 0","phv00113261","","","",1,1,,0,0,0
"cardia","temperature","phv00114608","pht001626","degree centigrade","","MeasurementObservation","bdy_temp","Cel","CARDIA YEAR 2","phv00114583","","","",1,1,,0,0,0
"cardia","temperature","phv00118956","pht001781","degrees centigrade","","MeasurementObservation","bdy_temp","Cel","CARDIA YEAR 10","phv00118837","","","",1,1,,0,0,0
"cardia","body weight","phv00117926","pht001749","weight - mon 96","","MeasurementObservation","bdy_wgt","kg","CARDIA YEAR 7","phv00117898","","","",1,1,,0,0,0
"cardia","body weight","phv00119261","pht001790","ppt weight during exam 4. q 2","","MeasurementObservation","bdy_wgt","kg","CARDIA YEAR 10","phv00119258","","","",1,1,,0,0,0
"cardia","body weight","phv00117442","pht001725","ppt weight during exam 3","","MeasurementObservation","bdy_wgt","kg","CARDIA YEAR 7","phv00117441","","","",1,1,,0,0,0
"cardia","body weight","phv00119262","pht001790","ppt weight during exam 5. q 2","","MeasurementObservation","bdy_wgt","kg","CARDIA YEAR 10","phv00119258","","","",1,1,,0,0,0
"cardia","body weight","phv00117443","pht001725","ppt weight during exam 4","","MeasurementObservation","bdy_wgt","kg","CARDIA YEAR 7","phv00117441","","","",1,1,,0,0,0
"cardia","diastolic blood pressure","phv00112482","pht001560","second reading dbp","","MeasurementObservation","bp_diastolic","mm[Hg]","CARDIA YEAR 0","phv00112462","","","",1,1,,0,0,0
