cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,participantidphv,associatedvisit,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good,varlist,bad_map,expr,add_var_units,note,added_phv
"fhs","albumin in urine","phv00000925","pht000009","urinalysis: albumin, exam 7","","MeasurementObservation","albumin_urine","mg/L","phv00001036","FHS ORIGINAL EXAM 1-7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00008722","pht000032","urinalysis: albumine (dip)","","MeasurementObservation","albumin_urine","mg/L","phv00008743","FHS OFFSPRING EXAM 3","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00008724","pht000032","urinalysis: albumine (qnt)","","MeasurementObservation","albumin_urine","mg/L","phv00008743","FHS OFFSPRING EXAM 3","","","",,1,1,,0,0,0,"","","","","",""
"fhs","albumin in urine","phv00462175","pht010725","urine microalbumin","","MeasurementObservation","albumin_urine","mg/L","phv00462160","OFFSPRING EXAMS 5, 6, 7 AND OMNI 1 EXAMS 1, 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","alt sgpt","phv00462188","pht010726","alanine aminotransferase sample type: serum","","MeasurementObservation","alt_sgpt","[IU]/L","phv00462185","FHS EXAM LAB ASSAYS, GENERATION 3 EXAM 3, NEW OFFSPRING SPOUSE EXAM 3, OMNI 2 EXAM 3","","","",,1,1,,0,0,0,"","","","","",""
"fhs","alt sgpt","phv00422390","pht006013","alt: alanine aminotransferase 1 - 3709-4 (p24298) (sample type: citrated plasma)","","MeasurementObservation","alt_sgpt","[IU]/L","phv00275427","FHS OFFSPRING EXAM 5","","","",,1,1,,0,0,0,"","","","","",""
"fhs","alt sgpt","phv00227066","pht004802","measurable range indicator for alanine aminotransferase","","MeasurementObservation","alt_sgpt","[IU]/L","phv00227023","FHS OFFSPRING EXAM 9, OMNI 1 EXAM 4","","","",,1,1,,0,0,0,"","","","","",""
"fhs","alt sgpt","phv00172202","pht002889","measurable range indicator for alt","","MeasurementObservation","alt_sgpt","[IU]/L","phv00172159","FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","alt sgpt","phv00008098","pht000031","sgpt","","MeasurementObservation","alt_sgpt","[IU]/L","phv00008379","FHS OFFSPRING EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","ast sgot","phv00462189","pht010726","aspartate aminotransferase sample type: serum","","MeasurementObservation","ast_sgot","[IU]/L","phv00462185","FHS EXAM LAB ASSAYS, GENERATION 3 EXAM 3, NEW OFFSPRING SPOUSE EXAM 3, OMNI 2 EXAM 3","","","",,1,1,,0,0,0,"","","","","",""
"fhs","ast sgot","phv00422716","pht006013","got1: aspartate aminotransferase, cytoplasmic - 4912-17 (p17174) (sample type: citrated plasma)","","MeasurementObservation","ast_sgot","[IU]/L","phv00275427","FHS OFFSPRING EXAM 5","","","",,1,1,,0,0,0,"","","","","",""
"fhs","ast sgot","phv00008093","pht000031","sgot","","MeasurementObservation","ast_sgot","[IU]/L","phv00008379","FHS OFFSPRING EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","basophils count","phv00008120","pht000031","basophils","","MeasurementObservation","basophil_ncnc_bld","10*3/uL","phv00008379","FHS OFFSPRING EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","bilirubin conjugated direct","phv00008097","pht000031","direct bilirubin","","MeasurementObservation","bilirubin_con","mg/dL","phv00008379","FHS OFFSPRING EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","bilirubin total","phv00008090","pht000031","bilirubin","","MeasurementObservation","bilirubin_tot","mg/dL","phv00008379","FHS OFFSPRING EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","bilirubin total","phv00255363","pht005144","bilirubin","","MeasurementObservation","bilirubin_tot","mg/dL","phv00255349","FHS GENERATION 3 EXAM 1","","","",,1,1,,0,0,0,"","","","","",""
"fhs","bilirubin total","phv00521148","pht012889","qi1144-bilirubin (compound - metabolite)","","MeasurementObservation","bilirubin_tot","mg/dL","","","","","",,,1,,0,0,0,"","","","","",""
"fhs","bilirubin total","phv00521385","pht012890","qi1144-bilirubin (compound - metabolite)","","MeasurementObservation","bilirubin_tot","mg/dL","","","","","",,,1,,0,0,0,"","","","","",""
"fhs","bmi","phv00056833","pht000397","body mass index (bmi = pm202/((pm207/100)*(pm207/100)))","","MeasurementObservation","bmi","kg/m2","phv00057982","FHS OFFSPRING AND OMNI 1 SHHS 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","bnp","phv00462542","pht010727","bnp (pf) - olink cardiovascular ii(v.5004) - p16860 - oid00455","","MeasurementObservation","bnp","pg/mL","phv00462203","OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","bnp","phv00369623","pht007776","bnp - criteria","","MeasurementObservation","bnp","pg/mL","phv00369587","FHS EVENT REVIEW ORIGINAL, OFFSPRING, GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 1, OMNI 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","bnp","phv00462541","pht010727","bnp - olink cardiovascular ii(v.5004) - p16860 - oid00455 (sample type: edta plasma)","","MeasurementObservation","bnp","pg/mL","phv00462203","OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","bnp","phv00369625","pht007776","bnp lab normal","","MeasurementObservation","bnp","pg/mL","phv00369587","FHS EVENT REVIEW ORIGINAL, OFFSPRING, GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 1, OMNI 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","bnp","phv00369624","pht007776","bnp level","","MeasurementObservation","bnp","pg/mL","phv00369587","FHS EVENT REVIEW ORIGINAL, OFFSPRING, GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 1, OMNI 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","bnp","phv00422396","pht006013","bnp-32: brain natriuretic peptide 32 - 3723-1 (p16860) (sample type: citrated plasma)","","MeasurementObservation","bnp","pg/mL","phv00275427","FHS OFFSPRING EXAM 5","","","",,1,1,,0,0,0,"","","","","",""
"fhs","body weight","phv00520310","pht006026","weight (pounds), exam 3","","MeasurementObservation","bdy_wgt","kg","phv00277015","FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 1-3","","","",,1,1,,0,0,0,"","","","","",""
"fhs","bun","phv00008085","pht000031","bun","","MeasurementObservation","bun","mg/dL","phv00008379","FHS OFFSPRING EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","bun creatinine ratio","phv00227285","pht004809","urine urea nitrogen","g/d","MeasurementObservation","bun_creatinine","{ratio}","phv00227261","FHS OFFSPRING EXAM 9, OMNI 1 EXAM 4","","","",,1,1,,0,0,0,"","","","","",""
"fhs","c-reactive protein crp","phv00520365","pht012880","c-reactive protein (sample type: serum)","","MeasurementObservation","crp","mg/L","phv00520362","GENERATION 3 EXAM 1, NEW OFFSPRING SPOUSE EXAM 1, AND OMNI 2 EXAM 1","","","",,1,1,,0,0,0,"","","","","",""
"fhs","c-reactive protein crp","phv00520381","pht012881","c-reactive protein (sample type: serum)","","MeasurementObservation","crp","mg/L","phv00520376","OFFSPRING EXAM 7 AND OMNI 1 EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","c-reactive protein crp","phv00520398","pht012882","c-reactive protein (sample type: serum)","","MeasurementObservation","crp","mg/L","phv00520395","OFFSPRING EXAM 8 AND OMNI 1 EXAM 3","","","",,1,1,,0,0,0,"","","","","",""
"fhs","c-reactive protein crp","phv00462196","pht010726","c-reactive protein sample type: serum","","MeasurementObservation","crp","mg/L","phv00462185","FHS EXAM LAB ASSAYS, GENERATION 3 EXAM 3, NEW OFFSPRING SPOUSE EXAM 3, OMNI 2 EXAM 3","","","",,1,1,,0,0,0,"","","","","",""
"fhs","c-reactive protein crp","phv00422577","pht006013","crp: c-reactive protein - 4337-49 (p02741) (sample type: citrated plasma)","","MeasurementObservation","crp","mg/L","phv00275427","FHS OFFSPRING EXAM 5","","","",,1,1,,0,0,0,"","","","","",""
"fhs","c-reactive protein crp","phv00463198","pht010728","rna levels (cycle threshold): crp, run1, leukocyte","","MeasurementObservation","crp","mg/L","","","","","",,,1,,0,0,0,"","","","","",""
"fhs","c-reactive protein crp","phv00463150","pht010728","rna levels (cycle threshold): crp, run1, platelet","","MeasurementObservation","crp","mg/L","","","","","",,,1,,0,0,0,"","","","","",""
"fhs","cac score","phv00023196","pht000144","aortic artery calcium score (agatston)","","MeasurementObservation","cac_score","{score}","phv00023198","FHS GENERATION 3 EXAM 1","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cac score","phv00023202","pht000145","aortic artery calcium score (agatston)","","MeasurementObservation","cac_score","{score}","phv00023204","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cac score","phv00257670","pht005161","coronary artery calcium score (agatston)","","MeasurementObservation","cac_score","{score}","phv00257668","FHS OFFSPRING, GENERATION 3, OMNI 1, OMNI 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cac score","phv00023235","pht000147","coronary artery calcium score - score: total","","MeasurementObservation","cac_score","{score}","phv00023247","FHS OFFSPRING EXAM 6-7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cac score","phv00023194","pht000144","coronary artery scan 1 calcium score (agatston)","","MeasurementObservation","cac_score","{score}","phv00023198","FHS GENERATION 3 EXAM 1","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cac score","phv00023200","pht000145","coronary artery scan 1 calcium score (agatston)","","MeasurementObservation","cac_score","{score}","phv00023204","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cac score","phv00023195","pht000144","coronary artery scan 2 calcium score (agatston)","","MeasurementObservation","cac_score","{score}","phv00023198","FHS GENERATION 3 EXAM 1","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cac score","phv00023201","pht000145","coronary artery scan 2 calcium score (agatston)","","MeasurementObservation","cac_score","{score}","phv00023204","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cac volume","phv00023230","pht000147","coronary artery calcium score - volume/w.e.: total","","MeasurementObservation","cac_volume","[hnsf'U]","phv00023247","FHS OFFSPRING EXAM 6-7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cac volume","phv00257671","pht005161","coronary artery calcium volume","mm3","MeasurementObservation","cac_volume","[hnsf'U]","phv00257668","FHS OFFSPRING, GENERATION 3, OMNI 1, OMNI 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cd40 in blood","phv00462900","pht010727","cd40 (pf) - olink inflammation(v.3012) - p25942 - oid00542","","MeasurementObservation","cd40","pg/mL","phv00462203","OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cd40 in blood","phv00462899","pht010727","cd40 - olink inflammation(v.3012) - p25942 - oid00542 (sample type: edta plasma)","","MeasurementObservation","cd40","pg/mL","phv00462203","OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cd40 in blood","phv00520380","pht012881","cd40 ligand (sample type: serum)","","MeasurementObservation","cd40","pg/mL","phv00520376","OFFSPRING EXAM 7 AND OMNI 1 EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cd40 in blood","phv00520379","pht012881","cd40 ligand - plasma (sample type: plasma)","","MeasurementObservation","cd40","pg/mL","phv00520376","OFFSPRING EXAM 7 AND OMNI 1 EXAM 2","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cd40 in blood","phv00422332","pht006013","cd40 ligand, soluble: cd40 ligand - 3534-14 (p29965) (sample type: citrated plasma)","","MeasurementObservation","cd40","pg/mL","phv00275427","FHS OFFSPRING EXAM 5","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cd40 in blood","phv00462395","pht010727","cd40-l - olink cardiovascular ii(v.5004) - p29965 - oid00382 (sample type: edta plasma)","","MeasurementObservation","cd40","pg/mL","phv00462203","OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cd40 in blood","phv00462396","pht010727","cd40_l (pf) - olink cardiovascular ii(v.5004) - p29965 - oid00382","","MeasurementObservation","cd40","pg/mL","phv00462203","OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cd40 in blood","phv00463192","pht010728","rna levels (cycle threshold): cd40, run1, leukocyte","","MeasurementObservation","cd40","pg/mL","","","","","",,,1,,0,0,0,"","","","","",""
"fhs","cd40 in blood","phv00463144","pht010728","rna levels (cycle threshold): cd40, run1, platelet","","MeasurementObservation","cd40","pg/mL","","","","","",,,1,,0,0,0,"","","","","",""
"fhs","cd40 in blood","phv00463186","pht010728","rna levels (cycle threshold): cd40lg, run1, leukocyte","","MeasurementObservation","cd40","pg/mL","","","","","",,,1,,0,0,0,"","","","","",""
"fhs","cd40 in blood","phv00463138","pht010728","rna levels (cycle threshold): cd40lg, run1, platelet","","MeasurementObservation","cd40","pg/mL","","","","","",,,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00023792","pht000160","center for epidemiological studies depression scale","","MeasurementObservation","cesd_score","{score}","phv00023794","FHS PSIP ORIGINAL, OFFSPRING","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00023899","pht000172","center for epidemiological studies depression scale","","MeasurementObservation","cesd_score","{score}","phv00023901","FHS PSIP ORIGINAL, OFFSPRING","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010605","pht000036","cesd: i could not ""get going"". see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010587","pht000036","cesd: i did not feel like eating; my appetite was poor see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010601","pht000036","cesd: i enjoyed life. see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010591","pht000036","cesd: i felt depressed. see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010595","pht000036","cesd: i felt fearful. see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010593","pht000036","cesd: i felt hopeful about the future. see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010588","pht000036","cesd: i felt like i could not shake off the blues, even with help from my family and friends. see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010599","pht000036","cesd: i felt lonely. see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010603","pht000036","cesd: i felt sad. see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010592","pht000036","cesd: i felt that everything i did was an effort. see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010589","pht000036","cesd: i felt that i was just as good as other people. see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010604","pht000036","cesd: i felt that people disliked me. see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010602","pht000036","cesd: i had crying spells. see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010590","pht000036","cesd: i had trouble keeping my mind on what i was doing. see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010598","pht000036","cesd: i talked less than usual. see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010594","pht000036","cesd: i thought my life had been a failure. see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010586","pht000036","cesd: i was bothered by things that usually don't bother me see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010597","pht000036","cesd: i was happy. see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010596","pht000036","cesd: my sleep was restless. see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00010600","pht000036","cesd: people were unfriendly. see note above","","MeasurementObservation","cesd_score","{score}","phv00010694","FHS OFFSPRING EXAM 7","","","",,1,1,,0,0,0,"","","","","",""
"fhs","cesd score","phv00423842","pht009758","during the past week, i could not ""get going""","","MeasurementObservation","cesd_score","{score}","","","","","",,,1,,0,0,0,"","","","","",""
